run_id,game_name,opponent,opponent_race,map,outcome,observed_game_id,engagement_id,start_frame,end_frame,duration_frames,anchor_x,anchor_y,our_supply_open,our_supply_peak,our_supply_close,army_supply_open,arrival_p25_offset,arrival_p50_offset,arrival_p75_offset,observed_enemy_supply_peak,squads_involved,squad_status_open,squad_status_close,status_change_count,sim_ratio_open,sim_engage_threshold_open,sim_verdict_open,attr_our_units_lost,attr_our_supply_lost,attr_enemy_units_killed,attr_enemy_supply_killed,attr_kills_ambiguous,attr_units_present,attr_units_died,attr_supply_present,window_our_destroyed,window_truth_enemy_destroyed,record_opener,record_build_order
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,1,3464,3544,80,3673,560,1,6,6,6,8,16,16,2,1,FIGHT,FIGHT,0,0.0000,1.3000,ADVANCE,0,0,0,0,0,6,0,6,0,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,3,7176,7416,240,3670,1599,1,4,1,7,0,8,24,6,1,FIGHT,RETREAT,1,0.0000,1.3000,ADVANCE,1,1,0,0,0,4,1,4,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,2,3992,8056,4064,3619,1672,6,10,1,8,0,1440,2128,16,9,RETREAT,RETREAT,22,2.2393,1.3000,ENGAGE,21,21,5,5,0,22,21,22,21,5,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,6,8440,8496,56,1760,2172,1,1,1,12,0,0,0,2,1,RETREAT,RETREAT,0,0.3321,1.3000,RETREAT,0,0,0,0,0,1,0,1,0,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,7,8512,8848,336,1906,1782,3,4,1,12,0,0,0,7,2,FIGHT,RETREAT,1,1.1250,1.3000,RETREAT,0,0,1,1,1,4,0,4,2,1,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,8,9008,9472,464,513,1627,3,4,1,13,0,0,0,3,3,FIGHT,RETREAT,3,1.8643,1.3000,ENGAGE,2,2,3,3,1,4,2,4,3,3,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,12,9864,9952,88,3616,2058,4,4,2,14,0,0,0,5,1,FIGHT,RETREAT,1,3.0860,1.3000,ENGAGE,0,0,1,1,1,4,0,4,1,1,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,13,9888,9960,72,728,1721,2,2,2,14,0,0,0,4,1,FIGHT,RETREAT,1,1.9717,1.3000,ENGAGE,0,0,1,1,1,2,0,2,1,1,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,14,10136,10144,8,3463,4,2,2,2,15,0,0,0,1,1,RETREAT,RETREAT,0,0.0000,1.3000,ADVANCE,0,0,0,0,0,2,0,2,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,5,8112,10952,2840,1902,1936,3,8,1,10,120,1040,1600,26,9,RETREAT,RETREAT,18,0.3750,1.3000,RETREAT,16,16,6,6,1,23,16,23,23,8,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,19,11248,11376,128,3582,683,1,4,4,11,0,16,16,11,1,FIGHT,RETREAT,1,0.0000,1.3000,ADVANCE,0,0,0,0,0,4,0,4,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,18,11024,11440,416,3663,497,6,6,2,12,0,0,0,19,2,FIGHT,RETREAT,3,2.0650,1.3000,ENGAGE,4,4,0,0,0,8,4,8,2,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,20,11416,11560,144,3396,549,1,2,1,12,0,0,8,16,1,RETREAT,RETREAT,0,0.0851,1.3000,RETREAT,2,2,0,0,0,2,2,2,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,22,11680,11808,128,3742,467,2,2,1,12,0,0,0,21,1,RETREAT,RETREAT,0,0.0948,1.3000,RETREAT,1,1,0,0,0,2,1,2,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,21,11624,12336,712,3440,795,2,6,2,10,0,16,16,14,1,FIGHT,RETREAT,3,0.0000,1.3000,ADVANCE,0,0,0,0,0,6,0,6,1,0,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,23,12536,13624,1088,3528,1256,3,10,2,15,8,32,200,14,4,FIGHT,RETREAT,6,0.0000,1.3000,ADVANCE,12,12,17,17,1,17,12,17,12,16,Overpool,1HatchSpire
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,ceb7fa09-6bc0-4332-b156-3e062f208fb7,27,14400,14472,72,3525,720,1,4,1,5,0,40,48,12,1,FIGHT,RETREAT,1,0.0000,1.3000,ADVANCE,1,1,0,0,0,4,1,4,1,0,Overpool,1HatchSpire
