run_id,game_name,opponent,opponent_race,map,outcome,scbw_exit_code,launched_at,finished_at,game_time_sec,jar_version,git_rev,frozen,telemetry_flag,telemetry_status,plan_flag,result_winner,result_is_crashed,result_realtime_outed,score_self_is_winner,score_self_building,score_self_kill,score_self_razing,score_self_unit,score_opp_is_winner,score_opp_building,score_opp_kill,score_opp_razing,score_opp_unit,econ_samples,econ_last_frame,econ_minerals_gathered,econ_minerals_spent,econ_gas_gathered,econ_gas_spent,econ_supply_used_peak,econ_supply_total_peak,econ_frame_time_avg,econ_frame_time_max,record_timestamp,record_is_winner,record_num_starting_locations,record_opener,record_build_order,record_detected_strategies,record_frame_count,observed_game_id,observed_build_order,observed_is_winner,observed_end_frame,observed_average_fps,observed_engagement_count,observed_our_units_lost,observed_our_supply_lost,observed_enemy_units_killed,observed_enemy_supply_killed,observed_enemy_destroyed,observed_sample_interval_frames,observed_contact_radius_px,observed_merge_radius_px,observed_close_cooldown_frames,truth_self_created,truth_self_destroyed,truth_self_events,truth_opp_created,truth_opp_destroyed,truth_opp_types,truth_opp_events,truth_opp_last_frame,plan_events,plan_enqueued,plan_transitions,plan_completed,plan_cancelled,plan_units,plan_buildings,plan_tech,plan_upgrades,plan_queue_depth_peak,plan_last_frame,learn_opener,learn_build_order,learn_detected_strategies,learn_is_winner,learn_frame_count
20260903-210912,KTNJC000,Dave Churchill,Random,(2)Benzene.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:15:02,348.1,0.62,6d09bf8,False,True,ok,True,Dave Churchill,False,False,False,830,1500,0,2350,True,800,3500,2490,2500,620,14880,2890,2875,688,350,32,50,5.795,13735.0,1788495294922,false,2,Overpool,1HatchSpire,1Base;EarlyRush,14882,ceb7fa09-6bc0-4332-b156-3e062f208fb7,1HatchSpire,0,14882,160.9144,17,60,60,29,30,30,8,320,512,240,36,68,1634,30,30,7,1250,14887,436,79,357,46,34,61,17,0,1,25,14882,Overpool,1HatchSpire,1Base;EarlyRush,false,14882
20260903-210912,KTNJC023,MadMixR,Random,(4)Andromeda.scx,WIN,0,2026-09-03T21:09:12,2026-09-03T21:16:21,426.6,0.62,6d09bf8,False,True,ok,True,Infested Artosis,False,False,True,4470,29140,19650,30200,False,6050,45200,120,16260,1061,25464,31486,27750,9640,6025,248,310,5.276,16554.0,1788495370421,true,4,12Pool,3HatchHydra,1Base,25484,3b9d8adf-bff5-485b-b37c-bd45c24a8025,3HatchHydra,1,25484,177.3534,15,161,282,102,340,199,8,320,512,240,27,175,3539,206,201,16,2296,25450,2873,378,2495,362,17,326,44,0,8,52,25425,12Pool,3HatchHydra,1Base,true,25484
20260903-210912,KTNJC046,liongis,Zerg,(4)Jade.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:14:12,295.0,0.62,6d09bf8,False,True,ok,True,liongis,False,False,False,375,850,900,1550,True,1080,2150,1125,1950,386,9264,1658,1450,0,0,29,50,6.31,13066.0,1788495242907,false,4,4Pool,4Pool,1Base,9271,ee213058-fc61-4754-ba94-f70e69956980,4Pool,0,9271,120.9809,8,39,39,15,17,16,8,320,512,240,26,41,672,24,17,9,630,9272,253,62,191,24,43,33,29,0,0,11,9271,4Pool,4Pool,1Base,false,9271
20260903-210912,KTNJC069,Ecgberht,Terran,(2)Destination.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:16:08,412.8,0.62,6d09bf8,False,True,ok,True,Ecgberht,False,False,False,2545,18000,0,11750,True,4980,23900,8535,22325,1034,24816,12650,12650,3248,2550,83,102,4.588,11200.0,1788495358539,false,2,12Hatch,3HatchLurker,1Base;2RaxAcademy,24833,4b609285-1572-4e2e-88c2-bc07041fa68f,3HatchLurker,0,24833,174.9606,16,129,184,113,226,137,8,320,512,240,47,188,3157,355,119,19,2355,24859,2235,285,1950,181,104,232,48,1,4,66,24833,12Hatch,3HatchLurker,1Base;2RaxAcademy,false,24833
20260903-210912,KTNJC08C,WillBot,Random,(4)CircuitBreaker.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:15:55,398.2,0.62,6d09bf8,False,True,ok,True,WillBot,False,False,False,455,3300,750,3950,True,5325,6825,1365,18150,1074,25776,4762,4025,0,0,54,66,4.411,11936.0,1788495349400,false,4,4Pool,4Pool,2Gate;EarlyRush;1Base,25794,649bb7e4-8bb7-41a4-bdd7-ab285887ed3b,4Pool,0,25794,160.6483,14,124,124,17,60,20,8,320,512,240,71,132,2608,194,20,16,1330,25795,1276,324,952,74,290,304,20,0,0,10,25794,4Pool,4Pool,2Gate;EarlyRush;1Base,false,25794
20260903-210912,KTNJC0AF,Tomas Cere,Protoss,(4)LaMancha1.1.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:15:26,370.5,0.62,6d09bf8,False,True,ok,True,Tomas Cere,False,False,False,375,4200,3600,3200,True,3650,6150,1125,10900,857,20568,3738,3200,0,0,56,66,4.581,11978.0,1788495316998,false,4,4Pool,4Pool,1Base,20586,dca7830f-5ad5-46a2-981c-95db338233ce,4Pool,0,20586,149.2977,22,105,105,26,84,62,8,320,512,240,57,111,1070,194,63,17,1506,20604,441,91,350,58,37,67,24,0,0,11,20586,4Pool,4Pool,1Base,false,20586
20260903-210912,KTNJC0CI,VOID,Terran,(2)HeartbreakRidge.scx,LOSS,0,2026-09-03T21:09:12,2026-09-03T21:16:15,418.6,0.62,6d09bf8,False,True,ok,True,VOID,False,False,False,3250,6800,150,14925,True,5415,25550,10575,13975,1148,27552,16186,15725,4136,4075,122,152,5.028,11826.0,1788495367922,false,2,12Hatch,CrazyZerg,EarlyRush;1Base;2RaxAcademy,27561,cdd3ddca-215e-44be-b2f8-eb652641ffda,CrazyZerg,0,27561,211.7977,31,181,263,67,134,77,8,320,512,240,86,270,4794,295,69,21,2715,27568,8421,2213,6208,230,2276,2135,65,2,11,47,27561,12Hatch,CrazyZerg,EarlyRush;1Base;2RaxAcademy,false,27561
20260903-210912,KTNJC047,liongis,Zerg,(4)LaMancha1.1.scx,LOSS,0,2026-09-03T21:14:12,2026-09-03T21:18:04,230.0,0.62,6d09bf8,False,True,ok,True,liongis,False,False,False,1000,3150,0,2850,True,1365,4350,3900,4950,502,12048,3826,3800,360,100,48,70,2.339,5808.0,1788495476429,false,4,Overpool,SpeedlingAllIn,Hydralisk,12061,cf655b64-f7ac-47f4-af5a-6cfa4ca6cdee,SpeedlingAllIn,0,12061,214.9639,10,71,71,57,58,58,8,320,512,240,40,80,1196,37,59,10,1392,12062,476,68,408,54,7,60,7,0,1,12,12061,Overpool,SpeedlingAllIn,Hydralisk,false,12061
20260903-210912,KTNJC001,Dave Churchill,Random,(2)Destination.scx,LOSS,0,2026-09-03T21:15:02,2026-09-03T21:19:45,281.3,0.62,6d09bf8,False,True,ok,True,Dave Churchill,False,False,False,1475,1250,0,2850,True,800,4230,4425,3950,829,19896,4146,4150,0,0,39,56,3.28,6638.0,1788495575931,false,2,12Pool,1HatchSpire,1Base;EarlyRush,19904,5d83e7e4-3fe5-462d-83ec-dba5bf3b33a0,1HatchSpire,0,19904,154.2708,21,85,85,24,25,45,8,320,512,240,45,91,2970,41,25,7,1834,19905,838,117,721,61,42,83,34,0,0,36,19904,12Pool,1HatchSpire,1Base;EarlyRush,false,19904
20260903-210912,KTNJC0AG,Tomas Cere,Protoss,(4)Python.scx,WIN,0,2026-09-03T21:15:26,2026-09-03T21:19:24,236.3,0.62,6d09bf8,False,True,ok,True,Infested Artosis,False,False,True,375,3000,3900,1500,False,1300,550,0,1500,378,9072,1498,1450,0,0,37,50,3.22,10094.0,1788495553928,true,4,4Pool,4Pool,1Base,9085,d9d0ca3a-fea8-4c8d-80c6-976da124d5a4,4Pool,1,9085,25.0788,8,14,14,25,60,33,8,320,512,240,25,11,359,33,33,8,276,9048,189,30,159,24,0,29,1,0,0,7,9085,4Pool,4Pool,1Base,true,9085
