run_id,game_name,opponent,opponent_race,map,outcome,scbw_exit_code,launched_at,finished_at,game_time_sec,jar_version,git_rev,frozen,telemetry_flag,telemetry_status,plan_flag,result_winner,result_is_crashed,result_realtime_outed,score_self_is_winner,score_self_building,score_self_kill,score_self_razing,score_self_unit,score_opp_is_winner,score_opp_building,score_opp_kill,score_opp_razing,score_opp_unit,econ_samples,econ_last_frame,econ_minerals_gathered,econ_minerals_spent,econ_gas_gathered,econ_gas_spent,econ_supply_used_peak,econ_supply_total_peak,econ_frame_time_avg,econ_frame_time_max,record_timestamp,record_is_winner,record_num_starting_locations,record_opener,record_build_order,record_detected_strategies,record_frame_count,observed_game_id,observed_build_order,observed_is_winner,observed_end_frame,observed_average_fps,observed_engagement_count,observed_our_units_lost,observed_our_supply_lost,observed_enemy_units_killed,observed_enemy_supply_killed,observed_enemy_destroyed,observed_sample_interval_frames,observed_contact_radius_px,observed_merge_radius_px,observed_close_cooldown_frames,truth_self_created,truth_self_destroyed,truth_self_events,truth_opp_created,truth_opp_destroyed,truth_opp_types,truth_opp_events,truth_opp_last_frame,plan_events,plan_enqueued,plan_transitions,plan_completed,plan_cancelled,plan_units,plan_buildings,plan_tech,plan_upgrades,plan_queue_depth_peak,plan_last_frame,learn_opener,learn_build_order,learn_detected_strategies,learn_is_winner,learn_frame_count
20260904-031526,KU4HQ000,Dave Churchill,Random,(2)Benzene.scx,LOSS,0,2026-09-04T03:15:27,2026-09-04T03:20:10,280.5,0.63,6e32a9d,False,True,ok,True,Dave Churchill,False,False,False,660,850,0,1750,True,375,2400,2730,1800,457,10968,2418,2400,440,350,33,34,4.728,10330.0,1788517202115,false,2,Overpool,1HatchSpire,1Base;EarlyRush,10976,f1626ad5-c5a5-4bda-892a-28f3ff606482,1HatchSpire,0,10976,165.9020,5,36,36,16,17,17,8,320,512,240,26,48,901,26,17,6,791,10977,411,66,345,37,30,48,17,0,1,21,10976,Overpool,1HatchSpire,1Base;EarlyRush,false,10976
20260904-031526,KU4HQ01E,MadMixR,Random,(4)FightingSpirit.scx,LOSS,0,2026-09-04T03:15:27,2026-09-04T03:21:08,337.8,0.63,6e32a9d,False,True,ok,True,MadMixR,False,False,False,1850,14500,0,7825,True,7375,14615,5550,21125,1033,24792,9538,9525,752,625,76,102,3.653,11158.0,1788517259433,false,4,Overpool,3HatchHydra,2Gate;EarlyRush;1Base,24802,898f9d8c-109c-4d03-ae21-c0fd78f189bc,3HatchHydra,0,24802,255.1714,31,184,198,60,238,61,8,320,512,240,89,209,3347,255,62,23,2394,24833,6986,1648,5338,156,1713,1600,39,0,9,42,24802,Overpool,3HatchHydra,2Gate;EarlyRush;1Base,false,24802
20260904-031526,KU4HQ02S,liongis,Zerg,(2)HeartbreakRidge.scx,WIN,0,2026-09-04T03:15:27,2026-09-04T03:19:19,226.3,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,1200,0,850,False,400,50,0,1100,197,4728,818,800,0,0,25,34,5.157,9768.0,1788517151766,true,2,4Pool,4Pool,,4745,f9f3da95-7593-4b82-b057-336889d464dd,4Pool,1,4745,108.4274,4,1,1,16,24,16,8,320,512,240,14,1,215,11,17,6,210,4715,105,19,86,12,0,18,1,0,0,7,4745,4Pool,4Pool,,true,4745
20260904-031526,KU4HQ046,Ecgberht,Terran,(4)Jade.scx,WIN,0,2026-09-04T03:15:27,2026-09-04T03:21:03,331.7,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,1985,24400,9090,20250,False,2855,15450,0,12200,985,23640,17738,16575,6216,5600,200,200,3.322,10654.0,1788517254827,true,4,12Hatch,3HatchLurker,1Base,23655,075dfbca-b02f-4fc2-8108-a568dbd83439,3HatchLurker,1,23655,229.3242,3,119,164,171,342,209,8,320,512,240,57,119,2803,212,211,18,1864,23624,2171,293,1878,238,59,263,21,1,8,51,23655,12Hatch,3HatchLurker,1Base,true,23655
20260904-031526,KU4HQ05K,WillBot,Random,(3)TauCross.scx,LOSS,0,2026-09-04T03:15:27,2026-09-04T03:21:11,340.8,0.63,6e32a9d,False,True,ok,True,WillBot,False,False,False,375,5200,300,4450,True,4750,8125,1125,18050,1197,28728,5234,4450,0,0,56,82,3.204,10216.0,1788517260614,false,3,4Pool,4Pool,EarlyRush;1Base;2Gate,28739,117d489d-9892-4c13-9bb3-5f70b321a8d5,4Pool,0,28739,272.4885,7,147,147,22,74,27,8,320,512,240,80,154,2161,195,27,13,1790,28740,1056,321,735,82,278,288,33,0,0,10,28739,4Pool,4Pool,EarlyRush;1Base;2Gate,false,28739
20260904-031526,KU4HQ06Y,Tomas Cere,Protoss,(4)Python.scx,WIN,0,2026-09-04T03:15:27,2026-09-04T03:20:02,271.5,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,3300,4050,1400,False,1250,600,0,1650,401,9624,1490,1400,0,0,34,34,4.361,12227.0,1788517193190,true,4,4Pool,4Pool,1Base,9643,c04c3b7e-d9a0-453c-b081-99fa0318e93c,4Pool,1,9643,35.8953,8,10,10,28,66,37,8,320,512,240,24,11,406,38,38,8,312,9583,433,29,404,23,0,28,1,0,0,8,9643,4Pool,4Pool,1Base,true,9643
20260904-031526,KU4HQ08C,VOID,Terran,(4)CircuitBreaker.scx,WIN,0,2026-09-04T03:15:27,2026-09-04T03:20:29,295.8,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,2350,11850,7395,9300,False,2565,8900,0,5925,750,18000,11442,10975,3544,3425,132,134,3.787,9425.0,1788517221014,true,4,12Hatch,CrazyZerg,EarlyRush;2RaxAcademy;1Base,18013,366896c1-3880-41b6-978c-bc87d1638def,CrazyZerg,1,18013,236.7321,11,84,108,97,194,125,8,320,512,240,60,88,1903,128,126,16,1400,17953,7662,2169,5493,145,2352,2140,22,0,7,29,18013,12Hatch,CrazyZerg,EarlyRush;2RaxAcademy;1Base,true,18013
20260904-031526,KU4HQ02T,liongis,Zerg,(3)NeoMoonGlaive.scx,LOSS,0,2026-09-04T03:19:19,2026-09-04T03:22:40,199.5,0.63,6e32a9d,False,True,ok,True,liongis,False,False,False,1340,7800,0,6000,True,1665,11200,4020,10925,732,17568,7154,7125,352,100,51,72,1.964,5941.0,1788517349684,false,3,Overpool,SpeedlingAllIn,Hydralisk,17579,19c6cbed-e0d6-4642-86ee-ed4a40b34596,SpeedlingAllIn,0,17579,207.1962,23,264,264,76,91,76,8,320,512,240,98,209,2320,40,78,10,2794,17580,876,134,742,120,11,123,9,0,2,11,17579,Overpool,SpeedlingAllIn,Hydralisk,false,17579
20260904-031526,KU4HQ06Z,Tomas Cere,Protoss,(4)Roadrunner.scx,WIN,0,2026-09-04T03:20:02,2026-09-04T03:22:49,166.1,0.63,6e32a9d,False,True,ok,True,Infested Artosis,False,False,True,375,2100,3075,1150,False,625,500,0,1050,302,7248,1378,1200,0,0,28,34,2.501,6378.0,1788517361448,true,4,4Pool,4Pool,1Base,7256,88f85333-3bfe-4a39-825e-f8edc8423654,4Pool,1,7256,50.3243,4,14,14,18,42,23,8,320,512,240,20,10,294,23,23,6,186,7216,144,25,119,19,0,24,1,0,0,7,7256,4Pool,4Pool,1Base,true,7256
20260904-031526,KU4HQ001,Dave Churchill,Random,(2)Destination.scx,LOSS,0,2026-09-04T03:20:10,2026-09-04T03:23:13,181.2,0.63,6e32a9d,False,True,ok,True,Dave Churchill,False,False,False,835,600,0,2150,True,990,3400,2505,3100,408,9792,2810,2800,0,0,36,68,2.669,6348.0,1788517382847,false,2,12Pool,3HatchLurker,1Base;EarlyRush,9798,9397d4ed-ba61-48b7-947f-271c1de4c134,3HatchLurker,0,9798,220.0765,6,26,26,6,12,26,8,320,512,240,19,50,568,77,6,6,604,9826,6650,1997,4653,43,2270,1972,25,0,0,38,9798,12Pool,3HatchLurker,1Base;EarlyRush,false,9798
